"","Ensembl ID","Gene Symbol","BH-Adjusted P-Value","T-Statistic","Average Expression","Log2 Fold Change in Expression"
"1","ENSG00000167601","AXL",4e-04,-6.7167,2.8554,-5.6606
"2","ENSG00000152642","GPD1L",6e-04,6.4409,5.2424,1.9553
"3","ENSG00000225485",NA,0.001,-6.1989,3.4241,-4.5718
"4","ENSG00000177469","CAVIN1",0.0014,-6.0393,5.4069,-4.7894
"5","ENSG00000260628","LOC388248",0.0016,-5.9508,-2.7878,-3.4736
"6","ENSG00000183671","CMKLR2",0.0021,-5.8375,-2.2777,-5.2753
"7","ENSG00000167779","IGFBP6",0.0022,-5.7792,1.2715,-4.5652
"8","ENSG00000255248","MIR100HG",0.0022,-5.7424,-1.3317,-4.9093
"9","ENSG00000111817","DSE",0.0028,-5.65,2.3631,-3.9583
"10","ENSG00000138395","CDK15",0.0032,-5.5602,-3.6347,-4.4398
"11","ENSG00000073008","PVR",0.0032,-5.5601,6.4089,-1.3944
"12","ENSG00000269652",NA,0.0034,-5.5215,-5.9809,-3.0743
"13","ENSG00000171462","DLK2",0.0036,-5.4873,0.6447,-2.0127
"14","ENSG00000128609","NDUFA5",0.0037,5.4618,6.0289,0.8747
"15","ENSG00000204677","FAM153CP",0.0045,5.3935,-4.5184,3.058
"16","ENSG00000272403",NA,0.0052,-5.3372,-5.7287,-3.3049
"17","ENSG00000114737","CISH",0.0052,5.3213,2.6998,3.009
"18","ENSG00000223776","LGALS8-AS1",0.0054,5.2928,-2.7144,2.7537
"19","ENSG00000171456","ASXL1",0.006,-5.2508,7.1069,-1.0114
"20","ENSG00000050165","DKK3",0.0074,-5.183,0.4656,-3.7563
"21","ENSG00000236732",NA,0.0079,5.1442,-3.8855,2.2394
"22","ENSG00000259248","USP3-AS1",0.0079,5.1326,0.3743,1.1302
"23","ENSG00000255090",NA,0.0079,-5.1145,-4.9184,-4.1638
"24","ENSG00000128039","SRD5A3",0.0079,5.1057,4.4206,1.2333
"25","ENSG00000101346","POFUT1",0.0079,-5.1018,6.9134,-0.9909
"26","ENSG00000134954","ETS1",0.0084,-5.061,3.6867,-4.3612
"27","ENSG00000091986","CCDC80",0.0084,-5.0582,2.5113,-4.8164
"28","ENSG00000272761",NA,0.0084,-5.0577,-1.3839,-3.6194
"29","ENSG00000172551","MUCL1",0.0092,5.0163,-1.9009,6.8317
"30","ENSG00000118515","SGK1",0.0092,-5.0138,3.1772,-3.363
"31","ENSG00000197622","CDC42SE1",0.0095,4.9959,6.7585,1.1239
"32","ENSG00000225154","TUBAP9",0.01,4.97,-5.5732,3.1496
"33","ENSG00000074855","ANO8",0.01,4.9638,4.6764,1.19
"34","ENSG00000088325","TPX2",0.0113,-4.923,8.1181,-0.9388
"35","ENSG00000184709","LRRC26",0.0114,4.9122,0.0979,4.1946
"36","ENSG00000035862","TIMP2",0.0136,-4.8559,5.9738,-3.2142
"37","ENSG00000000457","SCYL3",0.0137,4.8352,4.1273,0.92
"38","ENSG00000143543","JTB",0.0137,4.8246,6.8963,0.9302
"39","ENSG00000142798","HSPG2",0.0137,-4.8199,6.3495,-2.4234
"40","ENSG00000150093","ITGB1",0.0137,-4.813,8.9388,-1.4381
"41","ENSG00000145916","RMND5B",0.0137,4.81,5.5565,0.9891
"42","ENSG00000154127","UBASH3B",0.0137,-4.8013,2.7396,-4.2336
"43","ENSG00000236242","MYO16-AS1",0.0137,-4.7964,-6.4665,-2.8397
"44","ENSG00000072110","ACTN1",0.0137,-4.7929,8.1487,-1.3177
"45","ENSG00000072858","SIDT1",0.0137,4.7921,0.9968,4.7289
"46","ENSG00000259571","BLID",0.0147,-4.7671,-7.0601,-2.1228
"47","ENSG00000171867","PRNP",0.015,-4.7546,6.2156,-2.6431
"48","ENSG00000238142","LOC105376805",0.0153,-4.7428,-4.3485,-3.9343
"49","ENSG00000110880","CORO1C",0.0153,-4.7328,7.2562,-1.133
"50","ENSG00000230882",NA,0.0153,4.7324,0.7712,3.0685
"51","ENSG00000205592","MUC19",0.0161,4.7136,-2.495,5.0654
"52","ENSG00000168421","RHOH",0.0164,4.6995,-1.8669,4.2139
"53","ENSG00000113070","HBEGF",0.0164,-4.6829,2.4688,-2.6356
"54","ENSG00000167178","ISLR2",0.0164,-4.6754,-3.0777,-3.416
"55","ENSG00000152380","FAM151B",0.0164,4.6644,0.037,1.4019
"56","ENSG00000153551","CMTM7",0.0164,-4.6587,2.8988,-3.1236
"57","ENSG00000198959","TGM2",0.0164,-4.6558,3.6418,-4.1178
"58","ENSG00000227279",NA,0.0164,-4.6524,-7.1042,-1.7161
"59","ENSG00000143420","ENSA",0.0164,4.6455,7.9518,0.9427
"60","ENSG00000244468",NA,0.0164,4.6455,-0.2555,5.7544
"61","ENSG00000137880","GCHFR",0.0164,4.6413,2.5471,2.0957
"62","ENSG00000168890","TMEM150A",0.0164,4.6404,3.5185,1.1412
"63","ENSG00000197361","FBXL22",0.0164,4.6374,-1.5387,1.8206
"64","ENSG00000256980","KHDC1L",0.0164,-4.6372,-4.4524,-3.0684
"65","ENSG00000104219","ZDHHC2",0.0164,-4.6345,1.3998,-4.2295
"66","ENSG00000261780","LINC02582",0.0164,-4.6317,-3.7063,-4.9255
"67","ENSG00000073792","IGF2BP2",0.0164,-4.6292,3.6737,-4.1902
"68","ENSG00000150281","CTF1",0.0164,-4.6243,-0.5956,-3.3868
"69","ENSG00000135314","KHDC1",0.0164,-4.6156,0.7911,-3.5811
"70","ENSG00000117020","AKT3",0.0164,-4.6147,1.4535,-4.6809
"71","ENSG00000146966","DENND2A",0.0164,-4.6132,-1.1369,-3.8631
"72","ENSG00000212724","KRTAP2-3",0.0164,-4.6081,-4.3734,-4.3327
"73","ENSG00000183323","CCDC125",0.0164,4.604,4.4464,1.3641
"74","ENSG00000149591","TAGLN",0.0164,-4.6,3.4443,-2.5031
"75","ENSG00000154198","CYP4Z2P",0.0164,4.5988,-3.7555,5.5035
"76","ENSG00000165879","FRAT1",0.0164,4.5935,1.7943,1.4182
"77","ENSG00000122786","CALD1",0.0164,-4.5911,5.0743,-4.2334
"78","ENSG00000138623","SEMA7A",0.0164,-4.5892,2.8376,-2.9672
