"","Reactome Pathway","No. of Genes in Pathway","Adjusted P-Value"
"1","Extracellular matrix organization",296,"2.163e-30"
"2","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",126,"1.756e-19"
"3","Collagen formation",90,"9.432e-18"
"4","The citric acid (TCA) cycle and respiratory electron transport",177,"1.160e-17"
"5","Collagen degradation",62,"1.482e-12"
"6","Non-integrin membrane-ECM interactions",59,"1.001e-11"
"7","Mitotic Prometaphase",199,"6.018e-11"
"8","Laminin interactions",30,"1.214e-10"
"9","Protein localization",160,"4.494e-09"
"10","Cell surface interactions at the vascular wall",136,"4.997e-09"
"11","RHO GTPases Activate Formins",136,"1.112e-08"
"12","Mitochondrial protein import",61,"3.117e-08"
"13","Mitochondrial translation",92,"4.286e-08"
"14","MET activates PTK2 signaling",30,"6.242e-08"
"15","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",125,"6.904e-08"
"16","Elastic fibre formation",44,"8.791e-08"
"17","RHO GTPase Effectors",290,"3.438e-07"
"18","Muscle contraction",204,"9.696e-07"
"19","Cell-Cell communication",128,"2.190e-06"
"20","Cristae formation",31,"2.190e-06"
"21","Interferon Signaling",198,"5.991e-06"
"22","Glycosaminoglycan metabolism",124,"2.652e-05"
"23","L1CAM interactions",117,"3.347e-05"
"24","Fatty acid metabolism",174,"6.398e-05"
"25","Signaling by PDGF",58,"7.617e-05"
"26","Signaling by TGFB family members",121,"8.426e-05"
"27","Metabolism of amino acids and derivatives",371,"1.531e-04"
"28","Platelet degranulation ",128,"1.578e-04"
"29","Anchoring of the basal body to the plasma membrane",97,"1.821e-04"
"30","Nuclear Envelope Breakdown",52,"1.821e-04"
"31","RHO GTPase cycle",443,"1.821e-04"
"32","Signaling by Interleukins",456,"1.960e-04"
"33","Dissolution of Fibrin Clot",13,"2.352e-04"
"34","Interleukin-4 and Interleukin-13 signaling",108,"5.745e-04"
"35","Metabolism of cofactors",20,"6.766e-04"
"36","Scavenging by Class A Receptors",19,"9.552e-04"
"37","Diseases of glycosylation",142,"9.827e-04"
"38","O-glycosylation of TSR domain-containing proteins",37,"9.827e-04"
"39","Interleukin-10 signaling",41,"1.085e-03"
"40","Mitotic G2-G2/M phases",194,"1.135e-03"
"41","G alpha (q) signalling events",214,"1.150e-03"
"42","Diseases associated with glycosaminoglycan metabolism",41,"1.234e-03"
"43","Cell-extracellular matrix interactions",18,"1.471e-03"
"44","Estrogen-dependent gene expression",118,"1.490e-03"
"45","Cyclin A/B1/B2 associated events during G2/M transition",25,"1.493e-03"
"46","Cilium Assembly",198,"1.914e-03"
"47","Endosomal/Vacuolar pathway",11,"2.156e-03"
"48","Chromatin modifying enzymes",234,"2.216e-03"
"49","HDACs deacetylate histones",59,"2.492e-03"
"50","RHOC GTPase cycle",73,"3.270e-03"
"51","RNA Polymerase I Promoter Opening",31,"3.654e-03"
"52","Gap junction trafficking and regulation",47,"4.135e-03"
"53","Interleukin-6 family signaling",24,"4.135e-03"
"54","Biological oxidations",216,"4.964e-03"
"55","Defective SRD5A3 causes SRD5A3-CDG, KHRZ",1,"4.964e-03"
"56","Neutrophil degranulation",475,"5.160e-03"
"57","RND3 GTPase cycle",42,"5.160e-03"
"58","Antigen Presentation: Folding, assembly and peptide loading of class I MHC",29,"5.651e-03"
"59","RAB geranylgeranylation",64,"5.757e-03"
"60","SARS-CoV-2 Infection",293,"8.076e-03"
"61","PKMTs methylate histone lysines",52,"8.389e-03"
"62","Myogenesis",30,"1.128e-02"
"63","EGR2 and SOX10-mediated initiation of Schwann cell myelination",28,"1.161e-02"
"64","YAP1- and WWTR1 (TAZ)-stimulated gene expression",15,"1.189e-02"
"65","Maturation of spike protein",37,"1.211e-02"
"66","GPCR ligand binding",450,"1.244e-02"
"67","Activation of gene expression by SREBF (SREBP)",41,"1.321e-02"
"68","Signaling by activated point mutants of FGFR1",11,"1.534e-02"
"69","trans-Golgi Network Vesicle Budding",72,"1.780e-02"
"70","Semaphorin interactions",65,"1.909e-02"
"71","Defective ABCC8 can cause hypo- and hyper-glycemias",2,"2.210e-02"
"72","Carnitine metabolism",13,"2.225e-02"
"73","Amino acids regulate mTORC1",54,"2.292e-02"
"74","Signaling by Retinoic Acid",43,"2.511e-02"
"75","Signaling by Hippo",20,"2.946e-02"
"76","Cellular response to starvation",154,"3.130e-02"
"77","Degradation of cysteine and homocysteine",14,"3.344e-02"
"78","Beta-catenin independent WNT signaling",145,"3.369e-02"
"79","Regulation of Complement cascade",46,"3.751e-02"
"80","Dermatan sulfate biosynthesis",11,"3.857e-02"
"81","Trafficking and processing of endosomal TLR",13,"3.933e-02"
"82","Autointegration results in viral DNA circles",3,"4.099e-02"
"83","MHC class II antigen presentation",120,"4.099e-02"
"84","Insulin receptor recycling",27,"4.473e-02"
"85","MAPK family signaling cascades",323,"4.485e-02"
"86","CD163 mediating an anti-inflammatory response",9,"4.603e-02"
