"","Reactome Pathway","No. of Genes in Pathway","Adjusted P-Value","Leading Edge Genes"
"1","Extracellular matrix organization",296,"2.163e-30","TIMP2, HSPG2, ITGB1, ACTN1, COL6A1, COL8A1, LAMC1, MMP14, LOXL2, MFAP5, LAMA2, P3H2, COL6A2, SPARC, TGFB1, ADAM17, ICAM5, EFEMP2, COL11A1, LAMB1, COL4A1, FN1, ADAM9, BMP1, MMP24, MATN4, LOX, LAMC2, COL4A6, COL8A2, P3H1, COL1A2, CD44, ITGA5, ADAMTS16, FGF2, LAMB3, SERPINH1, PLOD1, COL4A2, PCOLCE2, ICAM1, LAMA3, LOXL1, SERPINE1, COLGALT1, SPOCK3, ITGA3, COL9A3, ITGA6, LRP4, LAMA1, FBN1, COL19A1, COLGALT2, ADAM19, BMP2, TGFB2, COL16A1, MMP2, ITGA4, LAMA4, NID1, APP, COL4A4, DST, ADAMTS14, TIMP1, AGRN, FBN2, LTBP3, MATN1, P3H3, CTSV, COL12A1, LTBP2, MFAP4, LTBP4, COL13A1, COL17A1, ITGB8, COL5A2, COL18A1, DCN, ITGA1, OPTC, SH3PXD2A, CTSB, MFAP2, EMILIN2, ITGB3, LOXL3, ADAM12, PRKCA, FURIN, MUSK, COL4A3, MMP19, FBN3, ADAM10, P4HA3, LOXL4, THBS1, MMP9, SDC4, ITGAV, PLOD2, HTRA1, VCAN, NCAN, CRTAP, PLOD3, KLK7, ITGB2, NID2, COL3A1, NTN4, ITGAX, DAG1, ADAMTS9, COL6A6, GDF5, COL4A5, ADAMTS5, ADAMTS3, LAMC3, ADAMTS2, LUM, EFEMP1, ACAN, COL7A1, ICAM2, NCSTN, CAPN2, COL5A1, TLL2, COL9A1, DSPP, MMP20, COL1A1, JAM3, COL5A3, FBLN2, MMP3, LAMA5, MMP8, BMP4, DDR2, NCAM1, ADAMTS4, P4HA2, BSG, ITGA11, IBSP, CAPN1, COL27A1, COL6A3, SPP1, PLEC, ADAMTS18"
"2","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",126,"1.756e-19","NDUFA5, NDUFV3, NDUFA4, NDUFB10, COX14, NDUFC1, NDUFAB1, SDHC, NDUFS7, TACO1, COX6C, COX18, NDUFB1, NDUFS3, ATP5PF, NDUFA13, ATP5F1C, ATP5F1B, NDUFAF1, ATP5MC3, ATP5MF, NDUFA3, NDUFA2, COX7B, UQCRQ, UQCR10, ATP5ME, SURF1, NDUFA1, UQCRH, NDUFB2, COX6A1, NDUFAF6, ETFB, COX7C, NDUFA6, NDUFA8, UQCR11, CYC1, COX5B, ETFDH, COX8A, NDUFS1, CYCS, NDUFS2, ETFA, NDUFA10, NDUFA7, COX6B1, UQCRB, NDUFB4, NDUFB5, ATP5MC1, NDUFB3, COX16, ATP5F1E, ATP5MC2, COA1, COX4I1, UQCRC1, NDUFB7, NDUFC2, ATP5PD, NDUFB11, TMEM186, NDUFV2, NDUFB9, ATP5F1D, ATP5PB, NDUFB8, NDUFS6, ATP5F1A, COX11, ATP5PO, TRAP1, NDUFA9, NDUFAF3, UCP2, NUBPL, SDHA, NDUFS8"
"3","Collagen formation",90,"9.432e-18","COL6A1, COL8A1, LOXL2, P3H2, COL6A2, COL11A1, COL4A1, BMP1, LOX, LAMC2, COL4A6, COL8A2, P3H1, COL1A2, LAMB3, SERPINH1, PLOD1, COL4A2, PCOLCE2, LAMA3, LOXL1, COLGALT1, COL9A3, ITGA6, COL19A1, COLGALT2, COL16A1, COL4A4, DST, ADAMTS14, P3H3, CTSV, COL12A1, COL13A1, COL17A1, COL5A2, COL18A1, CTSB, LOXL3, COL4A3, P4HA3, LOXL4, MMP9, PLOD2, CRTAP, PLOD3, COL3A1, COL6A6, COL4A5, ADAMTS3, ADAMTS2, COL7A1, COL5A1, TLL2, COL9A1, MMP20, COL1A1, COL5A3, MMP3"
"4","The citric acid (TCA) cycle and respiratory electron transport",177,"1.160e-17","NDUFA5, NDUFV3, NDUFA4, NDUFB10, COX14, NDUFC1, NDUFAB1, SDHC, MPC1, NDUFS7, TACO1, COX6C, COX18, NDUFB1, D2HGDH, FAHD1, NDUFS3, SUCLG1, ATP5PF, NDUFA13, ATP5F1C, ATP5F1B, NDUFAF1, ATP5MC3, RXRA, ATP5MF, NDUFA3, NDUFA2, COX7B, UQCRQ, HAGH, UQCR10, ATP5ME, SURF1, NDUFA1, UQCRH, NDUFB2, IDH2, COX6A1, NDUFAF6, ETFB, COX7C, SUCLG2, NDUFA6, NDUFA8, UQCR11, DLD, CYC1, COX5B, ETFDH, COX8A, MPC2, NDUFS1, CYCS, NDUFS2, ETFA, NDUFA10, NDUFA7, COX6B1, UQCRB, FH, NDUFB4, NDUFB5, SLC16A8, LDHC, ATP5MC1, NDUFB3, COX16, ATP5F1E, ATP5MC2, COA1, MDH2, COX4I1, L2HGDH, UQCRC1, PDHX, NDUFB7, NDUFC2, ACO2, ATP5PD, PDK3, NDUFB11, TMEM186, NDUFV2, DLST, NDUFB9, ATP5F1D, ATP5PB, IDH3G, NDUFB8, NDUFS6, ATP5F1A, COX11, ATP5PO, TRAP1, NDUFA9, NDUFAF3, PDK4, UCP2, NUBPL, SDHA, PDHA1, NDUFS8"
"5","Collagen degradation",62,"1.482e-12","COL6A1, COL8A1, MMP14, COL6A2, ADAM17, COL11A1, COL4A1, ADAM9, COL4A6, COL8A2, COL1A2, COL4A2, COL9A3, COL19A1, COL16A1, MMP2, COL4A4, COL12A1, COL13A1, COL17A1, COL5A2, COL18A1, CTSB, FURIN, COL4A3, MMP19, ADAM10, MMP9, COL3A1, COL6A6, COL4A5, COL7A1, COL5A1, COL9A1, MMP20, COL1A1, COL5A3, MMP3, MMP8"
"6","Non-integrin membrane-ECM interactions",59,"1.001e-11","HSPG2, ITGB1, ACTN1, LAMC1, LAMA2, TGFB1, COL11A1, LAMB1, COL4A1, FN1, LAMC2, COL4A6, COL1A2, FGF2, LAMB3, COL4A2, LAMA3, ITGA6, LAMA1, LAMA4, COL4A4, AGRN, COL5A2, ITGB3, PRKCA, COL4A3, THBS1, SDC4, ITGAV, COL3A1, NTN4, DAG1, COL4A5, LAMC3, COL5A1, COL1A1, COL5A3, LAMA5, DDR2"
"7","Mitotic Prometaphase",199,"6.018e-11","NDC80, NME7, SMC4, MAPRE1, CDC20, NEK7, NCAPD2, KIF2C, CEP164, BIRC5, ZW10, SGO2, CENPI, AURKB, SPDL1, CDCA8, SMC2, TUBB3, BUB1, CCNB1, XPO1, PPP2R5D, CENPK, TUBB6, SEH1L, NUF2, CKAP5, CEP192, TUBB, KIF18A, NCAPG, CCNB2, TUBB2B, NEDD1, CNTRL, DCTN1, YWHAE, STAG1, CENPA, CENPE, ALMS1, TUBA1C, NINL, CEP152, CENPO, NCAPH, NUP98, PLK1, CEP70, PLK4, PAFAH1B1, CENPH, DYNC1I1, CSNK2A1, DYNC1H1, NUP37, HAUS6, SGO1, SKA1, DSN1, CEP57, CDCA5, CEP63, ERCC6L, CENPJ, TUBB4A, BUB1B, CSNK2A2, INCENP, TUBA1A, NEK9, CEP250, PPP2R1B, SPC25, TUBB2A, CENPN, CEP76, ITGB3BP, NEK2, CDK1, HAUS5, CSNK1E, B9D2, NUP160, EML4, NDEL1, PPP2CB, PPP2R1A, NUP107, SPC24, CENPF, CENPM, ZWILCH, HAUS1, CSNK2B, STAG2, PPP2R5E, MZT1, MAD2L1, CCP110, CEP131, HAUS7"
"8","Laminin interactions",30,"1.214e-10","HSPG2, ITGB1, LAMC1, LAMA2, LAMB1, COL4A1, LAMC2, COL4A6, LAMB3, COL4A2, LAMA3, ITGA3, ITGA6, LAMA1, LAMA4, NID1, COL4A4, COL18A1, ITGA1, COL4A3, ITGAV, NID2, COL4A5, LAMC3, COL7A1"
"9","Protein localization",160,"4.494e-09","LDHD, PEX11B, PEX1, ACOX2, MTX1, PEX19, GFER, AGXT, ATP5F1B, TIMM17A, FIS1, NUDT19, SCP2, ACOX3, TIMM10B, LONP2, TIMM13, CHCHD5, ACOT4, MLYCD, COA6, PEX7, COX17, TOMM70, ECH1, CYC1, ACBD5, CHCHD2, PAM16, CHCHD10, IDE, GET3, HSPA9, HSD17B4, HSCB, CYB5A, UBL4A, CAT, DHRS4, ATP5MC1, PEX13, DNAJC19, EPHX2, MTX2, PXMP2, ACOX1, ACO2, CHCHD4, ACAA1, GRPEL2, SLC27A2, GET4, AMACR, CHCHD3, TIMM17B, TOMM7, PEX16, IDH3G, IDH1, TIMM10, NDUFB8, COA4, ATAD1, GSTK1, PMPCB, CRAT, SLC25A6, ATP5F1A, TYSND1, GDAP1, TIMM9, ALDH3A2, GRPEL1, GNPAT, BCS1L, CMC2, GET1, PECR, TIMM21, CS, DECR2, TAFAZZIN, PIPOX, UBE2D2, HAO2, PEX26, SLC25A4, PAOX, NUDT7, UBC, VDAC1, UBE2J2, TIMM8B, PMPCA, SLC25A17"
"10","Cell surface interactions at the vascular wall",136,"4.997e-09","ITGB1, PSG11, FYN, CAV1, SLC16A1, GAS6, PSG2, TGFB1, PSG7, FN1, L1CAM, PROCR, COL1A2, CD44, PSG8, ITGA5, PSG6, PSG5, LYN, GPC1, SELPLG, PSG1, SELP, ITGA3, ITGA6, TNFRSF10D, TEK, PSG9, ATP1B3, PSG3, ITGA4, OLR1, PSG4, CD177, PROS1, SHC1, ITGB3, SRC, CD58, SLC16A3, TNFRSF10B, SDC4, SIRPA, ITGAV, SLC7A7, LCK, CD99L2, CD74, ITGB2, ITGAX, PIK3CA, ANGPT1, NRAS, PF4V1, SIRPG, GLG1"
