"","SYMBOL","ENSEMBL","ENTREZID"
"1","PLAG1","ENSG00000181690","5324"
"2","AXL","ENSG00000167601","558"
"3","STK33","ENSG00000130413","65975"
"4","MMP14","ENSG00000157227","4323"
"5","ZDHHC2","ENSG00000104219","51201"
"6","LRRC26","ENSG00000184709","389816"
"7","TMSB15B","ENSG00000158427","286527"
"8","TMSB15B","ENSG00000269226","286527"
"9","CGB8","ENSG00000213030","94115"
"10","HSPG2","ENSG00000142798","3339"
"11","CDK15","ENSG00000138395","65061"
"12","RAB3A","ENSG00000105649","5864"
"13","SLC2A3","ENSG00000059804","6515"
"14","POFUT1","ENSG00000101346","23509"
"15","OAZ3","ENSG00000143450","51686"
"16","CAVIN1","ENSG00000177469","284119"
"17","PLEKHH3","ENSG00000068137","79990"
"18","AP2B1","ENSG00000006125","163"
"19","CISH","ENSG00000114737","1154"
"20","HMGA2","ENSG00000149948","8091"
"21","TSPAN19","ENSG00000231738","144448"
"22","KRTAP2-3","ENSG00000212724","730755"
"23","KRTAP2-3","ENSG00000262862","730755"
"24","CAMK1G","ENSG00000008118","57172"
"25","IGFBP6","ENSG00000167779","3489"
"26","GPD1L","ENSG00000152642","23171"
"27","FAM153CP","ENSG00000204677","653316"
"28","RBMS2","ENSG00000076067","5939"
"29","PCNX4","ENSG00000126773","64430"
"30","GADD45G","ENSG00000130222","10912"
"31","PVR","ENSG00000073008","5817"
"32","LRRC49","ENSG00000137821","54839"
"33","PNMA8A","ENSG00000182013","55228"
"34","IGF2BP3","ENSG00000136231","10643"
"35","MSLN","ENSG00000102854","10232"
"36","CTF1","ENSG00000150281","1489"
"37","LDHD","ENSG00000166816","197257"
"38","LGALS8-AS1","ENSG00000223776","100287902"
"39","MIR181A2HG","ENSG00000224020","100379345"
"40","ST6GALNAC3","ENSG00000184005","256435"
"41","IGF2BP2","ENSG00000073792","10644"
"42","KHDC1","ENSG00000135314","80759"
"43","PIP","ENSG00000159763","5304"
"44","HMGA2-AS1","ENSG00000197301","100129940"
"45","MIR100HG","ENSG00000255248","399959"
"46","ZBED2","ENSG00000177494","79413"
"47","DKK3","ENSG00000050165","27122"
"48","JTB","ENSG00000143543","10899"
"49","NDUFA5","ENSG00000128609","4698"
"50","LOC284344","ENSG00000241104","284344"
"51","KHDC1L","ENSG00000256980","100129128"
"52","TAGLN","ENSG00000149591","6876"
"53","LINC01273","ENSG00000231742","101927541"
"54","TGM2","ENSG00000198959","7052"
"55","SMURF2","ENSG00000108854","64750"
"56","SNORA33","ENSG00000200534","594839"
"57","CNN1","ENSG00000130176","1264"
"58","MARVELD1","ENSG00000155254","83742"
"59","PRSS12","ENSG00000164099","8492"
"60","TIMP2","ENSG00000035862","7077"
"61","SGK1","ENSG00000118515","6446"
"62","PEX11B","ENSG00000131779","8799"
"63","FZD7","ENSG00000155760","8324"
"64","TMEM210","ENSG00000185863","100505993"
"65","RGS4","ENSG00000117152","5999"
"66","LOC100506178","ENSG00000232759","100506178"
"67","NR2F6","ENSG00000160113","2063"
"68","LIMS2","ENSG00000072163","55679"
"69","EMP1","ENSG00000134531","2012"
"70","LDHB","ENSG00000111716","3945"
"71","EHD2","ENSG00000024422","30846"
"72","PDE4A","ENSG00000065989","5141"
"73","CEP295NL","ENSG00000178404","100653515"
"74","CAV1","ENSG00000105974","857"
"75","SGTB","ENSG00000197860","54557"
"76","MUCL1","ENSG00000172551","118430"
"77","LRRIQ1","ENSG00000133640","84125"
"78","NME7","ENSG00000143156","29922"
"79","H2BP9","ENSG00000231787","115482691"
"80","C1orf43","ENSG00000143612","25912"
"81","RNF187","ENSG00000168159","149603"
"82","RNF187","ENSG00000285426","149603"
"83","MYO16-AS1","ENSG00000236242","100885782"
"84","DBI","ENSG00000155368","1622"
"85","IGFBP7","ENSG00000163453","3490"
"86","LCA5","ENSG00000135338","167691"
"87","EXTL2","ENSG00000162694","2135"
"88","BTN2A2","ENSG00000124508","10385"
"89","GSTP1","ENSG00000084207","2950"
"90","MFGE8","ENSG00000140545","4240"
"91","CYP4Z2P","ENSG00000154198","163720"
"92","UTRN","ENSG00000152818","7402"
"93","LINC01356","ENSG00000215866","100996702"
"94","PLAU","ENSG00000122861","5328"
"95","RFESD","ENSG00000175449","317671"
"96","LINC02225","ENSG00000249584","101928539"
"97","SIDT1","ENSG00000072858","54847"
"98","HBEGF","ENSG00000113070","1839"
"99","ETS1","ENSG00000134954","2113"
"100","ASXL1","ENSG00000171456","171023"
"101","LAMC1","ENSG00000135862","3915"
"102","LOC101927851","ENSG00000238005","101927851"
"103","CDC42SE1","ENSG00000197622","56882"
"104","TSPAN6","ENSG00000000003","7105"
"105","ARHGEF28","ENSG00000214944","64283"
"106","USP3-AS1","ENSG00000259248","100130855"
"107","ZNF316","ENSG00000205903","100131017"
"108","DSE","ENSG00000111817","29940"
"109","TIAM2","ENSG00000146426","26230"
"110","VWA7","ENSG00000204396","80737"
"111","VWA7","ENSG00000238203","80737"
"112","VWA7","ENSG00000230048","80737"
"113","VWA7","ENSG00000234433","80737"
"114","VWA7","ENSG00000223757","80737"
"115","VWA7","ENSG00000227144","80737"
"116","FRAT1","ENSG00000165879","10023"
"117","BPNT1","ENSG00000162813","10380"
"118","DSCAM-AS1","ENSG00000235123","100506492"
"119","SLC37A1","ENSG00000160190","54020"
"120","SCHIP1","ENSG00000151967","29970"
"121","SCHIP1","ENSG00000283154","29970"
"122","ANKRD1","ENSG00000148677","27063"
"123","ENSA","ENSG00000143420","2029"
"124","SLC2A12","ENSG00000146411","154091"
"125","LAMB1","ENSG00000091136","3912"
"126","ST8SIA6-AS1","ENSG00000204832","100128098"
"127","PSG8","ENSG00000124467","440533"
"128","MAP11","ENSG00000146826","55262"
"129","AJUBA","ENSG00000129474","84962"
"130","CGB7","ENSG00000196337","94027"
"131","RMND5B","ENSG00000145916","64777"
"132","DLGAP5","ENSG00000126787","9787"
"133","FZD2","ENSG00000180340","2535"
"134","SERPINF2","ENSG00000167711","5345"
"135","SERPINF2","ENSG00000276838","5345"
"136","FBXO17","ENSG00000269190","115290"
"137","FBXO17","ENSG00000282954","115290"
"138","NTF4","ENSG00000225950","4909"
"139","TTC39A","ENSG00000085831","22996"
"140","SELP","ENSG00000174175","6403"
"141","WNT10A","ENSG00000135925","80326"
