"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjP","Pathway","DEgenesInCat"
"1","R-HSA-429914","3e-04","0.9999","12","55","0.6367","Deadenylation-dependent mRNA decay","NT5C3B::DCP2::DCP1B::EXOSC7::CNOT1::LSM1::LSM7::CNOT11::EXOSC5::SKIV2L::EDC3::EIF4A3"
"2","R-HSA-430039","0.0018","0.9998","5","14","1","mRNA decay by 5' to 3' exoribonuclease","DCP2::DCP1B::LSM1::LSM7::EDC3"
"3","R-HSA-450604","0.0047","0.9993","5","17","1","KSRP (KHSRP) binds and destabilizes mRNA","DCP2::EXOSC7::MAPK11::EXOSC5::YWHAZ"
"4","R-HSA-5628897","0.0051","0.9982","13","85","1","TP53 Regulates Metabolic Genes","RRAGB::YWHAQ::COX20::COX6C::TNRC6B::COX18::LAMTOR4::NDUFA4::COX16::PRKAA1::TNRC6C::YWHAH::YWHAZ"
"5","R-HSA-975576","0.0072","0.9985","6","26","1","N-glycan antennae elongation in the medial trans-Golgi","MGAT4B::ST8SIA6::LHB::MAN2A1::MGAT3::B4GALT3"
"6","R-HSA-8986944","0.0091","0.997","10","62","1","Transcriptional Regulation by MECP2","TNRC6B::GAMT::SIN3A::GRIN2A::MECP2::MOBP::OPRM1::RBFOX1::TNRC6C::TBL1X"
"7","R-HSA-75035","0.0096","0.9988","4","13","1","Chk1 Chk2(Cds1) mediated inactivation of Cyclin B-Cdk1 complex","YWHAQ::CHEK1::YWHAH::YWHAZ"
"8","R-HSA-6811442","0.0097","0.9951","23","199","1","Intra-Golgi and retrograde Golgi-to-ER traffic","KIF20A::TUBA1B::DCTN6::KDELR1::TUBA3E::VPS45::DYNC1I2::COG2::KIF1B::GOLIM4::KIF5A::KIF22::MAN2A1::VPS54::NBAS::ACTR10::MAN1C1::SCOC::BICD1::BNIP1::STX5::SURF4::NAPA"
"9","R-HSA-5083629","0.0135","0.9997","2","3","1","Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2","DAG1::POMT2"
"10","R-HSA-5083633","0.0135","0.9997","2","3","1","Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1","DAG1::POMT2"
"11","R-HSA-9022538","0.0135","0.9997","2","3","1","Loss of MECP2 binding ability to 5mC-DNA","SIN3A::MECP2"
"12","R-HSA-194315","0.0189","0.988","40","416","1","Signaling by Rho GTPases","TUBA1B::CENPC::WASF3::YWHAQ::TUBA3E::CTNNA1::DYNC1I2::CTTN::DAAM1::ARHGEF9::ARHGEF12::ARHGEF16::GRB2::INPP5B::KIF5A::ARHGAP5::ARHGAP6::ARHGDIG::CENPP::MYLK::PIN1::CDCA8::PPP2CA::PPP2R1A::NUP133::DEPDC1B::RCC2::MAPK11::GOPC::ARHGAP31::CENPH::YWHAH::YWHAZ::MIS12::MYH14::H2AC18::H3C12::WASF1::ARHGAP29::ARHGEF11"
"13","R-HSA-389887","0.0198","0.9979","3","9","1","Beta-oxidation of pristanoyl-CoA","CRAT::ACOXL::ACOX3"
"14","R-HSA-727802","0.0198","0.9979","3","9","1","Transport of nucleotide sugars","SLC35D2::SLC35D1::SLC35B4"
"15","R-HSA-1295596","0.0207","0.9965","4","16","1","Spry regulation of FGF signaling","GRB2::PPP2CA::PPP2R1A::UBB"
"16","R-HSA-429958","0.0207","0.9965","4","16","1","mRNA decay by 3' to 5' exoribonuclease","NT5C3B::EXOSC7::EXOSC5::SKIV2L"
"17","R-HSA-1834949","0.0249","0.9909","9","62","1","Cytosolic sensors of pathogen-associated DNA ","POLR3F::POLR3H::NKIRAS2::NFKB2::POLR2L::TLR3::UBB::TRIM56::LRRFIP1"
"18","R-HSA-948021","0.0249","0.9867","20","182","1","Transport to the Golgi and subsequent modification","TUBA1B::DCTN6::KDELR1::TUBA3E::MGAT4B::DYNC1I2::COG2::ST8SIA6::MIA3::LHB::MAN2A1::MGAT3::ACTR10::MAN1C1::STX5::B4GALT3::NAPA::SEC22C::SEC24C::SEC24D"
"19","R-HSA-9022699","0.0256","0.9953","4","17","1","MECP2 regulates neuronal receptors and channels","SIN3A::GRIN2A::MECP2::OPRM1"
"20","R-HSA-195258","0.0264","0.9841","29","290","1","RHO GTPase Effectors","TUBA1B::CENPC::WASF3::YWHAQ::TUBA3E::CTNNA1::DYNC1I2::CTTN::DAAM1::GRB2::KIF5A::CENPP::MYLK::PIN1::CDCA8::PPP2CA::PPP2R1A::NUP133::RCC2::MAPK11::GOPC::CENPH::YWHAH::YWHAZ::MIS12::MYH14::H2AC18::H3C12::WASF1"
"21","R-HSA-2465910","0.0269","0.9967","3","10","1","MASTL Facilitates Mitotic Progression","ENSA::PPP2CA::PPP2R1A"
"22","R-HSA-6811438","0.0291","0.9907","7","44","1","Intra-Golgi traffic","VPS45::COG2::GOLIM4::MAN2A1::MAN1C1::STX5::NAPA"
"23","R-HSA-442660","0.0312","0.9939","4","18","1","Na+ Cl- dependent neurotransmitter transporters","SLC6A9::SLC6A13::SLC18A1::SLC6A5"
"24","R-HSA-8856688","0.033","0.9837","15","130","1","Golgi-to-ER retrograde transport","KIF20A::TUBA1B::DCTN6::KDELR1::TUBA3E::DYNC1I2::KIF1B::KIF5A::KIF22::NBAS::ACTR10::BICD1::BNIP1::SURF4::NAPA"
"25","R-HSA-2132295","0.0334","0.9839","14","119","1","MHC class II antigen presentation","KIF20A::TUBA1B::DCTN6::TUBA3E::OSBPL1A::AP1S3::DYNC1I2::HLA-DQB2::KIF5A::KIF22::ACTR10::CANX::SEC24C::SEC24D"
"26","R-HSA-3700989","0.0336","0.9785","34","358","1","Transcriptional Regulation by TP53","CDK5::RRAGB::YWHAQ::CHEK1::COX20::PLK3::COX6C::FANCD2::CNOT1::TNRC6B::FOS::NOC2L::COX18::LAMTOR4::NDUFA4::COX16::PIN1::POLR2I::POLR2L::PPP2CA::PPP2R1A::FANCI::CNOT11::PRKAA1::MAPK11::TNRC6C::PERP::UBB::YWHAH::YWHAZ::ING5::CCNK::EXO1::MTA2"
"27","R-HSA-1482788","0.0345","0.9912","5","27","1","Acyl chain remodelling of PC","PLA2G4E::PLB1::PLA2G2E::PNPLA8::LPCAT1"
