block_id,drug_row,drug_col,conc_r,conc_c,response,conc_r_unit,conc_c_unit
1,Dasatinib,Adavosertib,0.001953125,0,89.57110609,uM,uM
1,Dasatinib,Adavosertib,0.00390625,0,86.62015186,uM,uM
1,Dasatinib,Adavosertib,0.0078125,0,82.07674944,uM,uM
1,Dasatinib,Adavosertib,0.015625,0,76.07633901,uM,uM
1,Dasatinib,Adavosertib,0.03125,0,64.0960394,uM,uM
1,Dasatinib,Adavosertib,0.0625,0,51.5083111,uM,uM
1,Dasatinib,Adavosertib,0.125,0,37.52924277,uM,uM
1,Dasatinib,Adavosertib,0.25,0,31.58218756,uM,uM
1,Dasatinib,Adavosertib,0,0.00390625,100.6464547,uM,uM
1,Dasatinib,Adavosertib,0,0.0078125,104.2305961,uM,uM
1,Dasatinib,Adavosertib,0,0.015625,98.58434598,uM,uM
1,Dasatinib,Adavosertib,0,0.03125,95.56892108,uM,uM
1,Dasatinib,Adavosertib,0,0.0625,73.87586433,uM,uM
1,Dasatinib,Adavosertib,0,0.125,50.6689579,uM,uM
1,Dasatinib,Adavosertib,0,0.25,46.46291068,uM,uM
1,Dasatinib,Adavosertib,0,0.5,0,uM,uM
1,Dasatinib,Adavosertib,0.001953125,0.00390625,86.60276579,uM,uM
1,Dasatinib,Adavosertib,0.00390625,0.0078125,81.45654984,uM,uM
1,Dasatinib,Adavosertib,0.0078125,0.015625,76.5395966,uM,uM
1,Dasatinib,Adavosertib,0.015625,0.03125,70.44706227,uM,uM
1,Dasatinib,Adavosertib,0.03125,0.0625,58.48150045,uM,uM
1,Dasatinib,Adavosertib,0.0625,0.125,46.90617302,uM,uM
1,Dasatinib,Adavosertib,0.125,0.25,43.05260847,uM,uM
1,Dasatinib,Adavosertib,0.25,0.5,40.13072852,uM,uM
1,Dasatinib,Adavosertib,0.001953125,0,91.27663449,uM,uM
1,Dasatinib,Adavosertib,0.00390625,0,85.78127846,uM,uM
1,Dasatinib,Adavosertib,0.0078125,0,81.42414861,uM,uM
1,Dasatinib,Adavosertib,0.015625,0,76.27481333,uM,uM
1,Dasatinib,Adavosertib,0.03125,0,71.30304134,uM,uM
1,Dasatinib,Adavosertib,0.0625,0,61.83755236,uM,uM
1,Dasatinib,Adavosertib,0.125,0,46.75377891,uM,uM
1,Dasatinib,Adavosertib,0.25,0,31.47423056,uM,uM
1,Dasatinib,Adavosertib,0,0.00390625,108.3305389,uM,uM
1,Dasatinib,Adavosertib,0,0.0078125,103.843513,uM,uM
1,Dasatinib,Adavosertib,0,0.015625,109.0299401,uM,uM
1,Dasatinib,Adavosertib,0,0.03125,101.5664671,uM,uM
1,Dasatinib,Adavosertib,0,0.0625,101.2502994,uM,uM
1,Dasatinib,Adavosertib,0,0.125,88.13892216,uM,uM
1,Dasatinib,Adavosertib,0,0.25,63.91377246,uM,uM
1,Dasatinib,Adavosertib,0,0.5,44.94850299,uM,uM
1,Dasatinib,Adavosertib,0.001953125,0.00390625,94.01388361,uM,uM
1,Dasatinib,Adavosertib,0.00390625,0.0078125,92.68733359,uM,uM
1,Dasatinib,Adavosertib,0.0078125,0.015625,85.03867123,uM,uM
1,Dasatinib,Adavosertib,0.015625,0.03125,76.23621149,uM,uM
1,Dasatinib,Adavosertib,0.03125,0.0625,67.2736782,uM,uM
1,Dasatinib,Adavosertib,0.0625,0.125,55.42982122,uM,uM
1,Dasatinib,Adavosertib,0.125,0.25,40.65709395,uM,uM
1,Dasatinib,Adavosertib,0.25,0.5,35.03233169,uM,uM
1,Dasatinib,Adavosertib,0.001953125,0,90.43939258,uM,uM
1,Dasatinib,Adavosertib,0.00390625,0,85.84778507,uM,uM
1,Dasatinib,Adavosertib,0.0078125,0,87.44720999,uM,uM
1,Dasatinib,Adavosertib,0.015625,0,83.29589361,uM,uM
1,Dasatinib,Adavosertib,0.03125,0,68.77527181,uM,uM
1,Dasatinib,Adavosertib,0.0625,0,55.20262378,uM,uM
1,Dasatinib,Adavosertib,0.125,0,37.53257256,uM,uM
1,Dasatinib,Adavosertib,0.25,0,28.5290682,uM,uM
1,Dasatinib,Adavosertib,0,0.00390625,107.4486964,uM,uM
1,Dasatinib,Adavosertib,0,0.0078125,108.1903809,uM,uM
1,Dasatinib,Adavosertib,0,0.015625,105.978978,uM,uM
1,Dasatinib,Adavosertib,0,0.03125,102.6527734,uM,uM
1,Dasatinib,Adavosertib,0,0.0625,96.06406698,uM,uM
1,Dasatinib,Adavosertib,0,0.125,82.04486509,uM,uM
1,Dasatinib,Adavosertib,0,0.25,50.88046594,uM,uM
1,Dasatinib,Adavosertib,0,0.5,41.82554489,uM,uM
1,Dasatinib,Adavosertib,0.001953125,0.00390625,92.04831404,uM,uM
1,Dasatinib,Adavosertib,0.00390625,0.0078125,86.50317976,uM,uM
1,Dasatinib,Adavosertib,0.0078125,0.015625,81.17307956,uM,uM
