block_id,drug_row,drug_col,conc_r,conc_c,response,conc_r_unit,conc_c_unit
1,Dasatinib_WT,Gefitinib_WT,0.25,0,89.67878462,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0.25,0,102.3094598,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0.25,0,107.4536434,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0,0.5,42.30627077,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0,0.5,71.6875087,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0,0.5,56.21452846,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0,1,32.45538731,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0,1,73.14281076,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0,1,47.22215991,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0,2,30.79166264,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0,2,63.37689015,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0,2,34.71201349,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0.25,0.5,54.67294587,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0.25,0.5,88.00536414,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0.25,0.5,81.76104763,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0.25,1,45.76944276,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0.25,1,65.1508694,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0.25,1,60.41205349,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0.25,2,43.43496397,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0.25,2,46.77557069,uM,uM
1,Dasatinib_WT,Gefitinib_WT,0.25,2,34.37184657,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,0,68.03353096,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,0,60.27355542,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,0,76.61442257,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0,0.5,45.01641559,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0,0.5,60.97917292,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0,0.5,71.54360476,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0,1,35.90121323,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0,1,49.43690537,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0,1,54.66841004,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0,2,31.75634376,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0,2,56.39525983,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0,2,58.45672647,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,0.5,43.09561283,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,0.5,40.73016492,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,0.5,65.62886587,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,1,39.2987076,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,1,53.60249772,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,1,50.74569027,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,2,31.56771808,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,2,41.45368208,uM,uM
2,Dasatinib_CDH1,Gefitinib_CDH1,0.25,2,54.36537517,uM,uM
